date,Antigua and Barbuda,Australia,Bangladesh,Brazil,Chile,Czechia,Denmark,France,Indonesia,Italy,Japan,Malaysia,Mexico,Philippines,Saudi Arabia,Serbia,Slovenia,Spain,Taiwan,Thailand,United States
2020-02-15,-1.0,3.0,6.0,4.0,4.0,8.0,-1.0,-1.0,-2.0,-1.0,4.0,-3.0,4.0,4.0,0.0,-3.0,5.0,-1.0,-4.0,1.0,2.0
2020-02-16,-2.0,5.0,3.0,3.0,5.0,8.0,-7.0,2.0,-3.0,2.0,-6.0,-4.0,6.0,5.0,-2.0,2.0,6.0,3.0,-8.0,2.0,1.0
2020-02-17,-3.0,0.0,4.0,0.0,6.0,2.0,-1.0,2.0,-4.0,1.0,1.0,-3.0,4.0,0.0,-4.0,-5.0,0.0,1.0,-3.0,1.0,0.0
2020-02-18,-6.0,-2.0,3.0,-1.0,5.0,5.0,1.0,2.0,-2.0,1.0,2.0,-7.0,-1.0,1.0,-3.0,10.0,2.0,0.0,-2.0,0.0,-1.0
2020-02-19,-1.0,-1.0,1.0,-2.0,8.0,1.0,0.0,-3.0,-4.0,-1.0,2.0,-4.0,0.0,-3.0,-4.0,6.0,1.0,1.0,-4.0,-3.0,0.0
2020-02-20,-2.0,1.0,4.0,7.0,5.0,2.0,-1.0,-1.0,-1.0,1.0,4.0,-4.0,-1.0,-2.0,-4.0,5.0,1.0,1.0,-5.0,-2.0,0.0
2020-02-21,1.0,4.0,6.0,10.0,5.0,3.0,1.0,-2.0,-3.0,1.0,2.0,-5.0,-2.0,-2.0,-3.0,5.0,-1.0,2.0,0.0,1.0,-2.0
2020-02-22,0.0,4.0,4.0,6.0,5.0,6.0,-3.0,-2.0,0.0,3.0,1.0,-6.0,0.0,0.0,-4.0,-1.0,3.0,2.0,1.0,0.0,3.0
2020-02-23,3.0,4.0,4.0,7.0,4.0,3.0,-2.0,7.0,-1.0,16.0,3.0,-6.0,1.0,0.0,-4.0,2.0,7.0,10.0,4.0,0.0,3.0
2020-02-24,1.0,1.0,3.0,-7.0,3.0,2.0,-1.0,3.0,-3.0,23.0,4.0,-4.0,0.0,-1.0,-6.0,2.0,9.0,3.0,1.0,-1.0,1.0
2020-02-25,0.0,-1.0,0.0,-29.0,3.0,6.0,-3.0,1.0,-2.0,5.0,7.0,-4.0,-2.0,-2.0,-3.0,14.0,10.0,-1.0,0.0,3.0,1.0
2020-02-26,1.0,0.0,1.0,-11.0,3.0,6.0,-2.0,-2.0,-1.0,-5.0,3.0,-4.0,-1.0,-1.0,-1.0,5.0,-4.0,4.0,-3.0,0.0,2.0
2020-02-27,1.0,1.0,6.0,2.0,3.0,11.0,1.0,-1.0,2.0,-3.0,6.0,-3.0,1.0,-1.0,5.0,3.0,0.0,8.0,-1.0,-1.0,3.0
2020-02-28,4.0,6.0,6.0,3.0,9.0,6.0,1.0,1.0,3.0,-2.0,14.0,-1.0,6.0,1.0,6.0,-3.0,1.0,-7.0,11.0,5.0,3.0
2020-02-29,7.0,6.0,6.0,5.0,12.0,4.0,-4.0,1.0,6.0,-2.0,9.0,1.0,8.0,6.0,6.0,1.0,-1.0,4.0,1.0,6.0,7.0
2020-03-01,9.0,7.0,6.0,3.0,15.0,9.0,-7.0,4.0,5.0,-5.0,9.0,1.0,9.0,7.0,5.0,4.0,-2.0,6.0,2.0,9.0,9.0
2020-03-02,8.0,5.0,6.0,1.0,9.0,4.0,-5.0,3.0,12.0,-7.0,3.0,0.0,6.0,2.0,3.0,9.0,-2.0,1.0,-1.0,8.0,6.0
2020-03-03,5.0,7.0,3.0,2.0,10.0,1.0,-5.0,5.0,10.0,-1.0,9.0,-2.0,3.0,2.0,3.0,7.0,-3.0,3.0,-1.0,5.0,10.0
2020-03-04,4.0,12.0,5.0,2.0,9.0,2.0,-5.0,2.0,4.0,1.0,-2.0,1.0,4.0,2.0,2.0,4.0,-1.0,4.0,-7.0,2.0,6.0
2020-03-05,4.0,9.0,9.0,7.0,4.0,2.0,-3.0,0.0,8.0,0.0,3.0,-3.0,3.0,2.0,3.0,12.0,3.0,2.0,-3.0,2.0,7.0
2020-03-06,8.0,14.0,-8.0,11.0,5.0,4.0,-3.0,2.0,4.0,0.0,2.0,0.0,0.0,-1.0,2.0,5.0,-2.0,2.0,4.0,2.0,3.0
2020-03-07,6.0,12.0,8.0,13.0,7.0,6.0,-2.0,1.0,6.0,1.0,2.0,1.0,2.0,2.0,2.0,8.0,6.0,1.0,7.0,1.0,8.0
2020-03-08,2.0,8.0,9.0,11.0,7.0,17.0,-8.0,2.0,4.0,3.0,-4.0,1.0,3.0,2.0,2.0,14.0,22.0,7.0,7.0,1.0,7.0
