date,Antigua and Barbuda,Australia,Bangladesh,Brazil,Chile,Czechia,Denmark,France,Indonesia,Italy,Japan,Malaysia,Mexico,Philippines,Saudi Arabia,Serbia,Slovenia,Spain,Taiwan,Thailand,United States
2020-02-15,-6.0,-2.0,10.0,-5.0,9.0,37.0,-4.0,23.0,-8.0,35.0,7.0,0.0,6.0,-1.0,-1.0,18.0,41.0,26.0,-2.0,-8.0,15.0
2020-02-16,0.0,9.0,5.0,-13.0,5.0,28.0,-33.0,9.0,-7.0,26.0,-35.0,0.0,7.0,-2.0,0.0,52.0,44.0,13.0,-21.0,-5.0,16.0
2020-02-17,3.0,-6.0,3.0,-12.0,11.0,17.0,0.0,16.0,-7.0,7.0,-5.0,-4.0,3.0,-3.0,3.0,57.0,15.0,9.0,-14.0,-3.0,28.0
2020-02-18,3.0,-13.0,2.0,-11.0,13.0,22.0,9.0,36.0,-4.0,16.0,1.0,-8.0,3.0,-3.0,3.0,21.0,9.0,5.0,-3.0,-5.0,6.0
2020-02-19,1.0,-6.0,3.0,-5.0,11.0,6.0,12.0,18.0,-3.0,11.0,8.0,-3.0,2.0,-4.0,8.0,21.0,12.0,11.0,8.0,-3.0,8.0
2020-02-20,0.0,5.0,4.0,2.0,11.0,16.0,-3.0,29.0,-1.0,18.0,4.0,-2.0,2.0,-5.0,-3.0,4.0,20.0,15.0,-4.0,-3.0,4.0
2020-02-21,2.0,-1.0,18.0,1.0,10.0,4.0,15.0,28.0,-5.0,19.0,7.0,-3.0,-1.0,-8.0,4.0,1.0,25.0,20.0,6.0,-4.0,4.0
2020-02-22,7.0,10.0,10.0,12.0,9.0,30.0,-24.0,31.0,-5.0,30.0,-10.0,2.0,7.0,-1.0,-3.0,24.0,45.0,44.0,3.0,-12.0,23.0
2020-02-23,14.0,9.0,8.0,32.0,-3.0,-17.0,-9.0,30.0,-5.0,23.0,16.0,0.0,8.0,0.0,3.0,33.0,19.0,33.0,24.0,-7.0,23.0
2020-02-24,-1.0,-10.0,5.0,69.0,-4.0,13.0,12.0,45.0,-4.0,22.0,54.0,-5.0,6.0,6.0,5.0,2.0,18.0,36.0,6.0,-6.0,9.0
2020-02-25,1.0,-8.0,1.0,51.0,1.0,13.0,-4.0,23.0,-6.0,20.0,0.0,-4.0,7.0,11.0,2.0,35.0,13.0,17.0,4.0,-6.0,9.0
2020-02-26,-3.0,-5.0,5.0,-8.0,-3.0,10.0,1.0,9.0,-3.0,-6.0,-5.0,-4.0,3.0,0.0,-3.0,15.0,-32.0,11.0,3.0,-6.0,5.0
2020-02-27,0.0,-2.0,8.0,-11.0,-4.0,9.0,21.0,1.0,-3.0,-1.0,-4.0,-3.0,0.0,-4.0,-3.0,-4.0,3.0,16.0,-9.0,-7.0,12.0
2020-02-28,5.0,0.0,16.0,-17.0,-2.0,0.0,23.0,15.0,-5.0,11.0,-4.0,-1.0,3.0,-6.0,3.0,-18.0,9.0,33.0,65.0,-7.0,10.0
2020-02-29,7.0,18.0,14.0,-23.0,-8.0,0.0,-17.0,-12.0,-7.0,2.0,-22.0,6.0,5.0,-1.0,-2.0,12.0,2.0,19.0,31.0,-14.0,21.0
2020-03-01,12.0,20.0,5.0,-34.0,-15.0,29.0,-5.0,-13.0,-8.0,-30.0,-1.0,4.0,7.0,0.0,2.0,16.0,-55.0,6.0,21.0,-9.0,18.0
2020-03-02,8.0,-1.0,3.0,-25.0,-15.0,18.0,28.0,-9.0,0.0,-26.0,-15.0,-4.0,2.0,-2.0,0.0,19.0,-10.0,-7.0,-10.0,-7.0,10.0
2020-03-03,3.0,-14.0,2.0,-21.0,-14.0,-9.0,9.0,8.0,-2.0,-9.0,11.0,-7.0,2.0,-2.0,0.0,4.0,-15.0,-3.0,-2.0,-8.0,20.0
