date,Antigua and Barbuda,Australia,Bangladesh,Brazil,Chile,Czechia,Denmark,France,Indonesia,Italy,Japan,Malaysia,Mexico,Philippines,Saudi Arabia,Serbia,Slovenia,Spain,Taiwan,Thailand,United States
2020-02-15,3.0,0.0,1.0,0.0,0.0,-2.0,0.0,-1.0,1.0,-1.0,0.0,2.0,-1.0,0.0,2.0,-1.0,-3.0,-2.0,-1.0,1.0,-1.0
2020-02-16,NA,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,2.0,-2.0,2.0,2.0,-1.0,1.0,2.0,-3.0,-3.0,-2.0,5.0,2.0,-1.0
2020-02-17,3.0,-2.0,1.0,-1.0,1.0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,-2.0,1.0,2.0,6.0,1.0,-1.0,6.0,1.0,5.0
2020-02-18,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,2.0,-2.0,0.0,2.0,0.0,1.0,0.0,5.0,2.0,1.0
2020-02-19,1.0,-1.0,1.0,-1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,-1.0,1.0,1.0,0.0,0.0,-1.0,4.0,1.0,0.0
2020-02-20,1.0,-2.0,1.0,-2.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,-1.0,0.0,2.0,1.0,0.0,-1.0,1.0,1.0,1.0
2020-02-21,3.0,-3.0,2.0,-1.0,2.0,0.0,1.0,3.0,1.0,-1.0,1.0,2.0,-1.0,1.0,2.0,1.0,0.0,-2.0,5.0,2.0,0.0
2020-02-22,0.0,-1.0,1.0,0.0,0.0,-3.0,1.0,-1.0,0.0,-1.0,2.0,1.0,0.0,0.0,2.0,-2.0,-4.0,-2.0,3.0,2.0,-1.0
2020-02-23,NA,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,-1.0,1.0,2.0,-2.0,-3.0,-3.0,2.0,2.0,-1.0
2020-02-24,1.0,-1.0,1.0,8.0,2.0,0.0,0.0,3.0,1.0,4.0,14.0,2.0,-1.0,1.0,2.0,-2.0,1.0,0.0,4.0,2.0,0.0
2020-02-25,1.0,-1.0,1.0,10.0,1.0,0.0,1.0,4.0,3.0,5.0,1.0,1.0,-1.0,11.0,1.0,-3.0,1.0,1.0,2.0,2.0,0.0
2020-02-26,2.0,-1.0,1.0,6.0,2.0,0.0,1.0,3.0,0.0,6.0,1.0,1.0,-1.0,0.0,2.0,-2.0,4.0,0.0,2.0,2.0,-1.0
2020-02-27,1.0,-1.0,1.0,1.0,2.0,0.0,0.0,4.0,0.0,6.0,1.0,1.0,-1.0,0.0,1.0,-1.0,2.0,-2.0,-3.0,2.0,0.0
2020-02-28,0.0,-3.0,0.0,1.0,1.0,0.0,-1.0,4.0,1.0,5.0,2.0,1.0,-2.0,0.0,2.0,0.0,1.0,0.0,12.0,2.0,-1.0
2020-02-29,-1.0,-1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,-1.0,0.0,1.0,-2.0,0.0,-1.0,3.0,1.0,-2.0
2020-03-01,NA,0.0,0.0,5.0,2.0,-1.0,0.0,0.0,1.0,4.0,4.0,0.0,-1.0,1.0,1.0,-2.0,2.0,-2.0,1.0,1.0,-1.0
2020-03-02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,4.0,1.0,-2.0,0.0,1.0,-3.0,0.0,1.0,2.0,2.0,-1.0
2020-03-03,1.0,-1.0,1.0,-1.0,0.0,1.0,0.0,2.0,0.0,4.0,4.0,1.0,-2.0,0.0,1.0,-2.0,1.0,0.0,2.0,3.0,-1.0
2020-03-04,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0,2.0,1.0,4.0,5.0,2.0,-1.0,1.0,1.0,-1.0,0.0,0.0,2.0,3.0,-1.0
2020-03-05,2.0,0.0,0.0,-2.0,0.0,0.0,0.0,3.0,0.0,7.0,4.0,2.0,-1.0,0.0,1.0,-2.0,-1.0,0.0,0.0,3.0,-1.0
2020-03-06,0.0,-2.0,2.0,-2.0,0.0,1.0,0.0,3.0,1.0,8.0,5.0,1.0,-1.0,1.0,2.0,-1.0,1.0,0.0,1.0,4.0,-1.0
2020-03-07,0.0,0.0,-1.0,0.0,3.0,0.0,-1.0,1.0,0.0,6.0,5.0,1.0,0.0,1.0,2.0,-1.0,0.0,-1.0,2.0,3.0,-1.0
2020-03-08,NA,0.0,-1.0,1.0,5.0,-1.0,0.0,1.0,1.0,6.0,6.0,1.0,0.0,1.0,2.0,-2.0,-2.0,-2.0,2.0,2.0,-1.0
2020-03-09,1.0,4.0,1.0,-2.0,0.0,1.0,1.0,2.0,1.0,11.0,4.0,1.0,7.0,1.0,5.0,-2.0,1.0,-1.0,2.0,4.0,0.0
2020-03-10,1.0,-1.0,1.0,-2.0,-2.0,1.0,2.0,2.0,1.0,16.0,6.0,1.0,-2.0,3.0,5.0,-1.0,1.0,0.0,4.0,4.0,1.0
2020-03-11,0.0,-1.0,1.0,-1.0,0.0,5.0,2.0,1.0,1.0,19.0,3.0,2.0,-1.0,4.0,5.0,-2.0,1.0,1.0,1.0,4.0,0.0
2020-03-12,1.0,-1.0,1.0,-2.0,-1.0,5.0,12.0,1.0,1.0,24.0,3.0,2.0,-2.0,5.0,7.0,-2.0,2.0,3.0,-2.0,4.0,1.0
2020-03-13,0.0,-1.0,2.0,-2.0,-1.0,8.0,16.0,3.0,1.0,28.0,5.0,1.0,-1.0,7.0,6.0,1.0,11.0,8.0,3.0,5.0,3.0
