date,Antigua and Barbuda,Australia,Bangladesh,Brazil,Chile,Czechia,Denmark,France,Indonesia,Italy,Japan,Malaysia,Mexico,Philippines,Saudi Arabia,Serbia,Slovenia,Spain,Taiwan,Thailand,United States
2020-02-15,-6.0,4.0,4.0,5.0,2.0,13.0,-2.0,-2.0,-2.0,3.0,-1.0,-4.0,6.0,7.0,-5.0,3.0,11.0,2.0,-9.0,-3.0,6.0
2020-02-16,-7.0,3.0,3.0,2.0,3.0,12.0,-7.0,6.0,-3.0,3.0,-9.0,-6.0,7.0,3.0,-5.0,11.0,11.0,2.0,-14.0,-3.0,7.0
2020-02-17,0.0,-1.0,1.0,-2.0,1.0,4.0,-3.0,1.0,-3.0,0.0,-2.0,-5.0,2.0,-1.0,-8.0,10.0,1.0,0.0,-7.0,-3.0,6.0
2020-02-18,-1.0,-3.0,2.0,-3.0,0.0,9.0,1.0,5.0,-3.0,3.0,1.0,-8.0,0.0,0.0,-7.0,13.0,5.0,-2.0,-7.0,-3.0,0.0
2020-02-19,-2.0,-1.0,1.0,-1.0,0.0,4.0,0.0,-4.0,-3.0,0.0,0.0,-6.0,0.0,-3.0,-7.0,6.0,4.0,0.0,-7.0,-4.0,2.0
2020-02-20,1.0,0.0,2.0,1.0,-1.0,4.0,1.0,-2.0,-2.0,2.0,1.0,-2.0,0.0,-2.0,-5.0,5.0,4.0,1.0,-5.0,-4.0,1.0
2020-02-21,-2.0,3.0,2.0,2.0,-3.0,2.0,1.0,-1.0,-2.0,1.0,-1.0,-4.0,-2.0,-2.0,-6.0,3.0,1.0,1.0,-3.0,-4.0,2.0
2020-02-22,-5.0,5.0,2.0,-3.0,0.0,9.0,-6.0,-6.0,0.0,-1.0,-5.0,-4.0,0.0,1.0,-9.0,5.0,8.0,2.0,-8.0,-4.0,7.0
2020-02-23,1.0,3.0,4.0,4.0,-1.0,3.0,1.0,8.0,-2.0,-5.0,1.0,-6.0,2.0,-3.0,-7.0,7.0,9.0,7.0,-4.0,-5.0,7.0
2020-02-24,-6.0,-1.0,1.0,-14.0,-1.0,3.0,-2.0,3.0,-2.0,-4.0,18.0,-4.0,-2.0,1.0,-9.0,8.0,2.0,5.0,-3.0,-4.0,2.0
2020-02-25,1.0,-3.0,-1.0,-31.0,-1.0,6.0,-3.0,1.0,-5.0,-6.0,0.0,-4.0,-2.0,0.0,-6.0,16.0,0.0,-2.0,-8.0,-2.0,4.0
2020-02-26,-5.0,-1.0,0.0,-18.0,-3.0,3.0,-2.0,-5.0,-2.0,-13.0,-4.0,-4.0,-3.0,-3.0,-5.0,3.0,-11.0,0.0,-10.0,-3.0,7.0
2020-02-27,2.0,0.0,4.0,-8.0,-1.0,3.0,2.0,-5.0,0.0,-10.0,-3.0,-3.0,1.0,-2.0,2.0,0.0,-1.0,4.0,-3.0,-4.0,8.0
2020-02-28,4.0,4.0,7.0,-5.0,6.0,0.0,17.0,-1.0,1.0,-8.0,-2.0,0.0,3.0,-1.0,3.0,-5.0,-1.0,-1.0,8.0,-1.0,8.0
2020-02-29,5.0,6.0,6.0,-3.0,13.0,1.0,10.0,-7.0,2.0,-10.0,-10.0,3.0,6.0,5.0,1.0,6.0,-1.0,-1.0,-7.0,-1.0,12.0
2020-03-01,3.0,4.0,5.0,-9.0,11.0,8.0,21.0,1.0,1.0,-19.0,-10.0,0.0,6.0,2.0,1.0,5.0,-14.0,2.0,-7.0,-1.0,13.0
2020-03-02,8.0,0.0,3.0,-6.0,5.0,0.0,11.0,-6.0,5.0,-13.0,-10.0,-1.0,1.0,0.0,-2.0,15.0,-1.0,-3.0,-9.0,1.0,7.0
2020-03-03,6.0,-2.0,2.0,-5.0,4.0,0.0,10.0,-1.0,3.0,-7.0,-2.0,-3.0,1.0,1.0,-1.0,8.0,-2.0,-3.0,-10.0,0.0,11.0
2020-03-04,3.0,0.0,4.0,-1.0,1.0,3.0,9.0,-6.0,0.0,-7.0,-12.0,-2.0,1.0,-1.0,-1.0,0.0,0.0,0.0,-15.0,-1.0,8.0
2020-03-05,5.0,-2.0,7.0,0.0,-1.0,2.0,10.0,-8.0,4.0,-12.0,-9.0,-3.0,2.0,0.0,1.0,12.0,0.0,-1.0,-14.0,-3.0,8.0
