date,Antigua and Barbuda,Australia,Bangladesh,Brazil,Chile,Czechia,Denmark,France,Indonesia,Italy,Japan,Malaysia,Mexico,Philippines,Saudi Arabia,Serbia,Slovenia,Spain,Taiwan,Thailand,United States
2020-02-15,-1.0,3.0,7.0,8.0,0.0,14.0,2.0,12.0,1.0,9.0,1.0,-3.0,4.0,1.0,-6.0,4.0,22.0,8.0,-10.0,-2.0,3.0
2020-02-16,3.0,3.0,4.0,3.0,4.0,9.0,-5.0,7.0,-4.0,11.0,-10.0,-3.0,6.0,-3.0,-5.0,8.0,13.0,5.0,-22.0,-4.0,2.0
2020-02-17,-3.0,7.0,2.0,9.0,-3.0,1.0,-3.0,-6.0,-1.0,3.0,-1.0,-6.0,5.0,-2.0,-7.0,-3.0,-6.0,3.0,-17.0,-4.0,-9.0
2020-02-18,5.0,7.0,3.0,9.0,-3.0,2.0,-1.0,-4.0,1.0,4.0,-2.0,-9.0,2.0,0.0,-6.0,5.0,-4.0,4.0,-15.0,-6.0,1.0
2020-02-19,0.0,8.0,2.0,8.0,-3.0,-2.0,-2.0,-6.0,0.0,3.0,-3.0,-7.0,3.0,-6.0,-4.0,0.0,-4.0,2.0,-12.0,-6.0,1.0
2020-02-20,-2.0,9.0,4.0,11.0,-3.0,0.0,-1.0,-4.0,4.0,5.0,-3.0,-5.0,3.0,-5.0,-3.0,1.0,-1.0,5.0,-15.0,-4.0,0.0
2020-02-21,-2.0,12.0,5.0,12.0,-6.0,-1.0,-1.0,0.0,2.0,5.0,-2.0,-3.0,4.0,-6.0,-13.0,1.0,2.0,6.0,-12.0,-5.0,1.0
2020-02-22,-4.0,8.0,6.0,6.0,-1.0,11.0,-4.0,14.0,1.0,8.0,-3.0,-1.0,4.0,-1.0,-8.0,12.0,31.0,14.0,-17.0,-6.0,5.0
2020-02-23,-7.0,4.0,4.0,2.0,1.0,1.0,0.0,12.0,-4.0,6.0,2.0,-1.0,7.0,-7.0,-7.0,12.0,24.0,11.0,-15.0,-8.0,5.0
2020-02-24,-5.0,8.0,1.0,-27.0,-3.0,1.0,2.0,-1.0,-1.0,-15.0,-27.0,-6.0,4.0,-4.0,-8.0,10.0,0.0,4.0,-14.0,-7.0,1.0
2020-02-25,-3.0,10.0,2.0,-35.0,-1.0,2.0,1.0,-3.0,-6.0,-18.0,-2.0,-8.0,2.0,-18.0,-3.0,12.0,2.0,3.0,-12.0,-7.0,2.0
2020-02-26,-10.0,10.0,1.0,-17.0,-1.0,0.0,0.0,-5.0,0.0,-23.0,-5.0,-7.0,1.0,-3.0,-3.0,5.0,-10.0,1.0,-11.0,-8.0,3.0
2020-02-27,2.0,10.0,5.0,1.0,0.0,-1.0,2.0,-5.0,2.0,-22.0,-7.0,-4.0,2.0,-6.0,-2.0,4.0,-1.0,6.0,-4.0,-8.0,4.0
2020-02-28,13.0,14.0,9.0,2.0,0.0,0.0,6.0,0.0,3.0,-20.0,-10.0,0.0,6.0,-6.0,-10.0,2.0,2.0,2.0,-14.0,-6.0,5.0
2020-02-29,8.0,11.0,8.0,-2.0,5.0,2.0,5.0,4.0,4.0,-16.0,-21.0,3.0,5.0,0.0,-6.0,9.0,4.0,6.0,-16.0,-7.0,7.0
2020-03-01,9.0,6.0,5.0,-10.0,7.0,9.0,5.0,2.0,0.0,-26.0,-23.0,4.0,7.0,-5.0,-6.0,12.0,-13.0,5.0,-11.0,-8.0,7.0
